,context_recall,factual_correctness,faithfulness,semantic_similarity
0,1.0,,,0.856805612969177
1,,0.43,,0.8589967071121247
2,1.0,,0.0,0.6910901921933139
3,,0.2,,0.8339916706645394
4,1.0,,0.0,0.6723455334105475
5,1.0,0.2,0.42857142857142855,0.8641958625655146
6,1.0,0.0,0.0,0.8217210628469493
7,1.0,,,0.8750418694617361
8,1.0,,0.42857142857142855,0.8931216304862546
9,1.0,0.13,0.42857142857142855,0.8621194554680458
10,,0.0,,0.807342838716328
11,1.0,,0.0,0.6710957215465371
12,,0.0,0.0625,0.8548951690187288
13,1.0,0.0,0.0,0.8335982410609087
14,1.0,,0.0,0.6780113296904071
15,1.0,0.18,0.5,0.8604430777001966
16,1.0,,0.0,0.6867787692321815
17,1.0,0.14,0.0,0.8296665384250304
18,1.0,,0.0,0.690954778166431
19,,,0.0,0.6969143227829968
20,1.0,0.0,0.0,0.8487045219649607
21,1.0,0.0,0.0,0.7841193421808299
