,context_recall,factual_correctness,faithfulness,semantic_similarity
0,1.0,0.0,,0.8089297508130873
1,1.0,,,0.7019992364069709
2,1.0,0.0,0.0,0.8395602249508846
3,1.0,,,0.7019992364069709
4,1.0,,,0.7019992364069709
5,1.0,,,0.7019992364069709
6,1.0,,0.0,0.6724637278516504
7,1.0,,,0.7019992364069709
8,1.0,0.15,0.5,0.8556291838999172
9,1.0,,0.0,0.7034563326348927
10,1.0,0.0,0.0,0.8606850108651661
11,1.0,0.24,0.0,0.8422435190673105
12,1.0,,,0.7019992364069709
13,1.0,0.31,0.0,0.8131862528740597
14,1.0,0.13,0.0,0.8429157654858612
