,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall
Replacing suffix trees with enhanced suffix arrays,crossref,0.0,0.0,0.0,0.7202653190932262,,,,,
Route kernels for trees,crossref,0.5,0.0,0.0,0.6726508892525931,,,,,
The level ancestor problem simplified. Theo,,,,,,,,,,
Fast algorithms for sorting and searching strings,,,,,,,,,,
LIBSVM: a library for support vector machines,,,,,,,,,,
Convolution kernels for natural language,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,
A tree-position kernel for document compression,,,,,,,,,,
"Structuring labeled trees for optimal succinctness, and beyond",crossref,0.0,0.0,0.0,0.6751872101761655,,,,,
On graph kernels: Hardness results and efficient alternatives,crossref,0.0,0.0,0.0,0.6717473253347239,,,,,
Glycan: The database of carbohydrate structures,,,,,,,,,,
Convolution kernels on discrete structures,,,,,,,,,,
Simple linear work suffix array construction,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,
Linear-time longest-common-prefix computation in suffix arrays and its applications,crossref,0.0,0.0,0.0,0.69672822188969,,,,,
Machine Learning Approaches for Structureddata,,,,,,,,,,
Kernels for semi-structured data,,,,,,,,,,
Marginalized kernels between labeled graphs,,,,,,,,,,
A subpath kernel for rooted unordered trees,crossref,0.0,0.0,0.0,0.6701595560164842,,,,,
A gram distribution kernel applied to glycan classification and motif extraction,,,,,,,,,,
The spectrum kernel: a string kernel for SVM protein classification,crossref,0.0,0.0,0.0,0.677559077961084,,,,,
Text classification using string kernels,,,,,,,,,,
Efficient convolution kernels for dependency and constituent syntactic trees,crossref,0.0,0.0,0.0,0.6812617974739589,,,,,
Learning with Kernels,crossref,0.0,1.0,0.0,0.6518592779847123,,,,,
Fast support vector machines for structural kernels,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,
Constructing the suffix tree of a tree with a large alphabet,crossref,0.0,0.0,0.0,0.6717374961672015,,,,,
Tree sequence kernel for natural language,crossref,0.5,0.10526315789473684,0.02631578947368421,0.8223337898743504,,,,,
Fast and space efficient string kernels using suffix arrays,crossref,0.0,0.0,0.0,0.6619927912140582,,,,,
Fast kernels for string and tree matching,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,
Xrules: An effective structural classifier for xml data,,,,,,,,,,
