,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall
"Generalized priori­ tized sweeping, in 'Advances in Neural information",,,,,,,,,,
Neural Networks for Pattern Recognition,,,,,,,,,,
"Bayesian Q­ leaming, in 'Proceedings of the Fifteenth National Confer­ ence on Artificial intelligence (AAAI-98)",,,,,,,,,,
"Proability and Statistics, 2nd edn, Addison-Wesley",,,,,,,,,,
A tutorial on learning with Bayesian net­,,,,,,,,,,
Information value theory,crossref,0.0,,0.6734686339590463,,,,,0.0,0.0
"Stochastic simula­ tion algorithms for dynamic probabilistic networks, in 'Pro­ ceedings of the Eleventh Conference on Uncertainty in Arti­ ficial Intelligence (UAI-95)",,,,,,,,,,
"Near-optimal performance for re­ inforcement learning in polynomial time, in 'Proceedings of the Fifteenth",,,,,,,,,,
"Using learning for approxima­ tion in stochastic processes, in 'Proceedings of the Fifteenth International Conference on Machine Learning",,,,,,,,,,
Prioritized sweeping­ reinforcement learning with less data and less time,,,,,,,,,,
"Stochastic Simulation, Wiley, NY",,,,,,,,,,
Do the Right Thing: Studies in Limited Rationality,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
"Integrated architectures for learning, plan­ ning, and reacting based on approximating dynamic pro­ gramming",,,,,,,,,,
