,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision,pdf-recall,pdf-semantic_similarity,pdf-precision_recall,precision_recall
How to explain individual classification decisions,arxiv Library,0.0,0.3076923076923077,0.16216216216216217,0.7758912477147359,arxiv Library,0.7,0.15384615384615385,0.1276595744680851,0.822374905944347,,
Learning deep architectures for ai,crossref,0.0,0.0,0.0,0.6853076187371365,,,,,,,
Imagenet: A large-scale hierarchical image database,crossref,0.0,0.0,0.0,0.6811741332404739,,,,,,,
Visualizing higher-layer features of a deep network,,,,,,,,,,,,
"A discriminatively trained, multiscale, deformable part model",crossref,0.5,1.0,0.0,0.7358255989779925,,,,,,,
Rich feature hierarchies for accurate object detection and semantic segmentation,arxiv Library,0.0,0.19607843137254902,0.07246376811594203,0.7868455195825274,arxiv Library,0.7,0.23529411764705882,0.13636363636363635,0.8573850387403215,,
Measuring invariances in deep networks,,,,,,,,,,,,
Deep neural networks for acoustic modeling in speech recognition: The shared views of four research groups,crossref,0.0,0.0,0.0,0.6822998294916917,,,,,,,
Imagenet classification with deep convolutional neural networks,crossref,0.3,0.24324324324324326,0.16981132075471697,0.8517056468829224,,,,,,,
Building high-level features using large scale unsupervised learning,crossref,0.0,0.0,0.0,0.6594439434082282,,,,,,,
The mnist database of handwritten digits,,,,,,,,,,,,
Efficient estimation of word representations in vector space,arxiv Library,0.8,0.46153846153846156,0.1643835616438356,0.8401711852614291,arxiv Library,0.8,0.4230769230769231,0.1774193548387097,0.8720931994530636,,
Visualizing and understanding convolutional neural networks,,,,,,,,,,,,
