,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,pdf-precision,pdf-recall,precision_recall
ImageNet classification with deep convolutional neural networks,crossref,0.0,1.0,0.0,0.6923305499025382,,,,,,,
Multiple object recognition with visual attention,arxiv Library,0.0,0.1794871794871795,0.39436619718309857,0.8463531193027946,arxiv Library,0.3,,0.8757538730257799,0.1346153846153846,0.2876712328767123,
Recurrent models of visual attention,arxiv Library,0.8,0.3103448275862069,0.2621359223300971,0.8570477365397501,arxiv Library,0.6,,0.8667518323623584,0.21839080459770116,0.2261904761904762,
Learning generative models with visual attention,arxiv Library,0.7,0.4090909090909091,0.16822429906542055,0.8894336317212345,arxiv Library,0.8,,0.8737875679858058,0.3409090909090909,0.21428571428571427,
"Show, attend, and tell: neural image caption generation with visual attention",,,,,,,,,,,,
Neural machine translation by jointly learning to align and translate,arxiv Library,0.5,0.3111111111111111,0.13725490196078433,0.77834966285497,arxiv Library,0.5,,0.8161239941406282,0.17777777777777778,0.10810810810810811,
Reinforcement learning neural Turing machines,,,,,,,,,,,,
The Helmholtz machine,crossref,0.0,0.16,0.045454545454545456,0.8135727577868859,,,,,,,
Reweighted wake-sleep,,,,,,,,,,,,
Variational Bayesian inference with stochastic search,arxiv Library,0.7,0.3269230769230769,0.20481927710843373,0.8020236979875817,arxiv Library,0.8,,0.8927935902573265,0.36538461538461536,0.2714285714285714,
Neural variational inference and learning in belief networks,arxiv Library,0.5,0.375,0.21212121212121213,0.8694659155660603,arxiv Library,0.5,,0.8953674967384144,0.2857142857142857,0.24242424242424243,
Learning to combine foveal glimpses with a third-order Boltzmann machine,,,,,,,,,,,,
Learning where to attend with deep architectures for image tracking,arxiv Library,0.5,0.3,0.046875,0.7742382009651163,arxiv Library,0.2,,0.8338526146781735,0.4,0.09523809523809523,
Generating sequences with recurrent neural networks,arxiv Library,0.0,0.1,0.03076923076923077,0.7775686459788451,arxiv Library,0.0,,0.8242578649589345,0.15,0.03488372093023256,
DRAW: a recurrent neural network for image generation,arxiv Library,0.5,0.2,0.0625,0.7724110725337155,arxiv Library,0.5,,0.8216665628987332,0.2,0.047058823529411764,
Connectionist learning of belief networks,crossref,0.0,0.0,0.0,0.6602138650523173,,,,,,,
Simple statistical gradient-following algorithms for connectionist reinforcement learning,crossref,0.0,0.0,0.0,0.6638053175942077,,,,,,,
Auto-encoding variational Bayes,crossref,1.0,0.46153846153846156,0.1875,0.8660634764865582,,,,,,,
Stochastic backpropagation and approximate inference in deep generative models,arxiv Library,0.5,0.34615384615384615,0.1232876712328767,0.8481637436852397,arxiv Library,0.5,,0.8871426450882125,0.38461538461538464,0.13513513513513514,
A model of saliency-based visual attention for rapid scene analysis,crossref,0.0,0.0,0.0,0.7183439177300074,,,,,,,
Learning to predict where humans look,crossref,0.0,0.0,0.0,0.7183439177300074,,,,,,,
Learning stochastic feedforward neural networks,,,,,,,,,,,,
Importance weighted autoencoders,arxiv Library,0.0,0.2857142857142857,0.07766990291262135,0.7808892511231176,arxiv Library,0.7,,0.8679400780985248,0.39285714285714285,0.14864864864864866,
The optimal reward baseline for gradient-based reinforcement learning,,,,,,,,,,,,
Gradient-based learning applied to document recognition,crossref,0.0,0.0,0.0,0.6784490474854292,,,,,,,
"Framing image description as a ranking task: Data, models and evaluation metrics",crossref,0.5,0.3333333333333333,0.046875,0.8393041936341121,,,,,,,
Adam: a method for stochastic optimization,arxiv Library,0.5,0.2608695652173913,0.058823529411764705,0.781330965746552,arxiv Library,0.5,,0.8260763544169546,0.34782608695652173,0.12307692307692308,
Deep visual-semantic alignments for generating image descriptions,crossref,0.0,0.0,0.0,0.6785728470382137,,,,,,,
