,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision,pdf-recall,pdf-semantic_similarity,precision_recall,pdf-precision_recall
Learning to see by moving,arxiv Library,0.0,0.3333333333333333,0.1797752808988764,0.8134034648866126,arxiv Library,0.5,0.3333333333333333,0.21621621621621623,0.8782709966077433,,
Diffrac: a discriminative and flexible framework for clustering,,,,,,,,,,,,
Greedy layer-wise training of deep networks,crossref,0.0,0.0,0.0,0.6631800944342625,,,,,,,
Finding actors and actions in movies,crossref,0.0,0.0,0.0,0.6962314291445203,,,,,,,
Weakly supervised action labeling in videos under ordering constraints,arxiv Library,1.0,1.0,0.0,0.6543892252028154,arxiv Library,0.0,1.0,0.0,0.6697394883038759,,
Learning feature representations with k-means,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Histograms of oriented gradients for human detection,crossref,0.0,0.0,0.0,0.6967911386017184,,,,,,,
Imagenet: A large-scale hierarchical image database,crossref,0.0,0.0,0.0,0.6878892917246999,,,,,,,
Deep generative image models using a laplacian pyramid of adversarial networks,arxiv Library,0.4,0.2375,0.24358974358974358,0.8438726417796174,arxiv Library,0.5,0.2,0.2191780821917808,0.873921510745334,,
Unsupervised visual representation learning by context prediction,arxiv Library,0.5,0.2835820895522388,0.17592592592592593,0.8176002484276401,arxiv Library,0.0,0.1791044776119403,0.2033898305084746,0.8488613563054901,,
Adversarial feature learning,arxiv Library,0.0,0.17857142857142858,0.35294117647058826,0.8528082351953883,arxiv Library,0.5,0.16666666666666666,0.4057971014492754,0.875254367173988,,
Discriminative unsupervised feature learning with convolutional neural networks,,,,,,,,,,,,
The PASCAL visual object classes (VOC) challenge,crossref,0.0,0.0,0.0,0.7077462562069403,,,,,,,
Neocognitron: A self-organizing neural network model for a mechanism of pattern recognition unaffected by shift in position,crossref,0.0,0.0,0.0,0.682943275933551,,,,,,,
Fast r-cnn,arxiv Library,0.5,0.2,0.05263157894736842,0.8071553295561724,arxiv Library,0.7,0.4,0.11764705882352941,0.8642283591495948,,
Generative adversarial nets,crossref,0.0,0.0,0.0,0.6683911155463432,,,,,,,
Classes for fast maximum entropy training,arxiv Library,0.0,0.26,0.13978494623655913,0.7672887854356039,,,,,,,
Deep residual learning for image recognition,arxiv Library,0.0,0.26666666666666666,0.07017543859649122,0.7967632308815299,arxiv Library,0.2,0.3333333333333333,0.14925373134328357,0.8556138589213833,,
Batch normalization: Accelerating deep network training by reducing internal covariate shift,arxiv Library,1.0,1.0,0.0,0.6574850234214036,arxiv Library,0.0,1.0,0.0,0.6781211746586541,,
Learning image representations tied to ego-motion,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
A convex relaxation for weakly supervised classifiers,arxiv Library,1.0,1.0,0.0,0.6708606112089622,arxiv Library,0.0,1.0,0.0,0.6754388965049212,,
Discriminative clustering for image co-segmentation,crossref,0.0,0.0,0.0,0.6787648957294935,,,,,,,
Learning visual features from large weakly supervised data,arxiv Library,0.0,0.2,0.07792207792207792,0.7939978449969143,arxiv Library,0.0,0.3,0.11538461538461539,0.826758320236625,,
Auto-encoding variational bayes,crossref,0.0,1.0,0.0,0.6545718406318384,,,,,,,
Self-organized formation of topologically correct feature maps,crossref,0.0,0.0,0.0,0.685568162104561,,,,,,,
Data-dependent initializations of convolutional neural networks,,,,,,,,,,,,
Discriminative clustering by regularized information maximization,,,,,,,,,,,,
Imagenet classification with deep convolutional neural networks,crossref,0.3,0.2345679012345679,0.1792452830188679,0.8530826120684141,,,,,,,
The hungarian method for the assignment problem,crossref,0.0,0.13636363636363635,0.15789473684210525,0.7393918096162897,,,,,,,
Handwritten digit recognition with a back-propagation network,,,,,,,,,,,,
Learning deep parsimonious representations,,,,,,,,,,,,
Least squares quantization in pcm,crossref,0.0,0.0,0.0,0.6922134450315837,,,,,,,
Object recognition from local scale-invariant features,crossref,0.0,0.0,0.0,0.6871619343875742,,,,,,,
Convolutional kernel networks,arxiv Library,0.0,0.2727272727272727,0.05405405405405406,0.7524625465025703,arxiv Library,0.5,0.4090909090909091,0.11538461538461539,0.8528429385342768,,
neural-gas” network learns topologies,,,,,,,,,,,,
Stacked convolutional auto-encoders for hierarchical feature extraction,crossref,0.0,0.0,0.0,0.6534719542812331,,,,,,,
